Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,repeat_spatial_practice.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,,,,,,d,34.2149368102,,,,,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,0,0,0,0,None,0,0,0,6,,,,,,,,,,,d,23.3726759267,f,6.9810361423,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,0,0,0,0,None,0,1,1,2,,,,,,,,,,,,,a,2.10008090328,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,0,0,0,0,None,0,2,2,5,,,,,,,,,,,,,a,2.89961743851,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,0,0,0,0,None,0,3,3,1,,,,,,,,,,,,,f,2.00036680921,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,0,0,0,0,None,0,4,4,3,,,,,,,,,,,,,a,3.39897418367,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,0,0,0,0,None,0,5,5,4,,,,,,,,,,,,,f,1.46761391501,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,0,0,0,0,None,0,6,6,8,,,,,,,,,,,,,a,1.70045744053,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,0,0,0,0,None,0,7,7,0,,,,,,,,,,,,,a,2.20038091039,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,0,0,0,0,None,0,8,8,7,,,,,,,,,,,,,a,1.36747767797,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,0,0,0,0,None,,,,,0,0,0,3,,,,,,,,,f,2.53337807632,d,19.6914500878,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,0,0,0,0,None,,,,,0,1,1,5,,,,,,,,,a,6.81485282784,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,0,0,0,0,None,,,,,0,2,2,2,,,,,,,,,a,3.53288944361,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,0,0,0,0,None,,,,,0,3,3,8,,,,,,,,,a,7.59769508158,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,0,0,0,0,None,,,,,0,4,4,4,,,,,,,,,a,7.26476708284,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,0,0,0,0,None,,,,,0,5,5,1,,,,,,,,,a,5.41538644154,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,0,0,0,0,None,,,,,0,6,6,7,,,,,,,,,a,2.48392844632,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,0,0,0,0,None,,,,,0,7,7,6,,,,,,,,,a,2.75375767477,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,0,0,0,0,None,,,,,0,8,8,0,,,,,,,,,a,2.93309301826,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,0,0,0,0,None,,,,,,,,,0,0,0,3,,,,,f,3.15000220889,d,47.0769580896,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,0,0,0,0,None,,,,,,,,,0,1,1,5,,,,,a,3.31625513679,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,0,0,0,0,None,,,,,,,,,0,2,2,0,,,,,f,2.98369394724,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,0,0,0,0,None,,,,,,,,,0,3,3,2,,,,,f,1.75026763238,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,0,0,0,0,None,,,,,,,,,0,4,4,4,,,,,a,2.20126714285,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,0,0,0,0,None,,,,,,,,,0,5,5,6,,,,,a,1.68439101861,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,0,0,0,0,None,,,,,,,,,0,6,6,8,,,,,a,2.20057993339,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,0,0,0,0,None,,,,,,,,,0,7,7,7,,,,,f,1.63421401755,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,0,0,0,0,None,,,,,,,,,0,8,8,1,,,,,a,1.76709221592,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,1,0,1,0,None,0,0,0,4,,,,,,,,,,,d,38.3312746799,f,2.86803703969,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,1,0,1,0,None,0,1,1,0,,,,,,,,,,,,,a,1.83401704727,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,1,0,1,0,None,0,2,2,8,,,,,,,,,,,,,a,5.74880708916,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,1,0,1,0,None,0,3,3,7,,,,,,,,,,,,,f,3.48311941336,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,1,0,1,0,None,0,4,4,6,,,,,,,,,,,,,a,5.23307869397,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,1,0,1,0,None,0,5,5,1,,,,,,,,,,,,,a,3.78281057072,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,1,0,1,0,None,0,6,6,5,,,,,,,,,,,,,a,5.19878381773,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,1,0,1,0,None,0,7,7,2,,,,,,,,,,,,,f,4.84936056052,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,1,0,1,0,None,0,8,8,3,,,,,,,,,,,,,a,7.8476666338,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
